"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2136","TC_093 — submit empty form shows first required error","firefox","2026-08-10","passed","2026-08-10","Negative — mandatory field validation","negative/validation.spec.ts","",""
"","2101","TC_035 — date of birth in the far future: document actual behaviour","chromium","2026-08-10","passed","2026-08-10","Boundary & edge cases","edge-cases/boundary.spec.ts","",""
"","7427","TC_051 — phone number over 10 digits is rejected","mobile-chrome","2026-08-10","passed","2026-08-10","Negative — mandatory field validation","negative/validation.spec.ts","",""
"","2801","TC_002 — empty first name shows required error","webkit","2026-08-10","passed","2026-08-10","Negative — mandatory field validation","negative/validation.spec.ts","",""
"","2362","TC_011 — email without @ shows format error","firefox","2026-08-10","passed","2026-08-10","Negative — mandatory field validation","negative/validation.spec.ts","",""
"","2271","TC_037 — date of birth 1900-01-01 is accepted","firefox","2026-08-10","passed","2026-08-10","Boundary & edge cases","edge-cases/boundary.spec.ts","",""
"","6763","TC_005 — whitespace-only first name is treated as empty","webkit","2026-08-10","passed","2026-08-10","Boundary & edge cases","edge-cases/boundary.spec.ts","",""
"","8164","TC_052 — phone with alphabetical characters is rejected","webkit","2026-08-10","passed","2026-08-10","Negative — mandatory field validation","negative/validation.spec.ts","",""
"","3358","TC_038 — phone number with exactly 10 digits is accepted","webkit","2026-08-10","passed","2026-08-10","Boundary & edge cases","edge-cases/boundary.spec.ts","",""
"","2591","TC_022 — confirm password mismatch shows error","mobile-chrome","2026-08-10","passed","2026-08-10","Negative — mandatory field validation","negative/validation.spec.ts","",""
"","2329","TC_002 — empty first name shows required error","firefox","2026-08-10","passed","2026-08-10","Negative — mandatory field validation","negative/validation.spec.ts","",""
"","3724","TC_005 — whitespace-only first name is treated as empty","firefox","2026-08-10","passed","2026-08-10","Boundary & edge cases","edge-cases/boundary.spec.ts","",""
"","2671","TC_011 — email without @ shows format error","webkit","2026-08-10","passed","2026-08-10","Negative — mandatory field validation","negative/validation.spec.ts","",""
"","3740","TC_006 — single alphabetical character is accepted as first name","firefox","2026-08-10","passed","2026-08-10","Boundary & edge cases","edge-cases/boundary.spec.ts","",""
"","4830","TC_064 — form submission must trigger a profile creation API call","webkit","2026-08-10","passed","2026-08-10","Boundary & edge cases","edge-cases/boundary.spec.ts","",""
"","6753","TC_006 — single alphabetical character is accepted as first name","webkit","2026-08-10","passed","2026-08-10","Boundary & edge cases","edge-cases/boundary.spec.ts","",""
"","1880","TC_093 — submit empty form shows first required error","mobile-chrome","2026-08-10","passed","2026-08-10","Negative — mandatory field validation","negative/validation.spec.ts","",""
"","7294","TC_071 — non-LinkedIn URL is rejected","mobile-chrome","2026-08-10","passed","2026-08-10","Negative — mandatory field validation","negative/validation.spec.ts","",""
"","2217","TC_035 — date of birth in the far future: document actual behaviour","mobile-chrome","2026-08-10","passed","2026-08-10","Boundary & edge cases","edge-cases/boundary.spec.ts","",""
"","2324","TC_091 — successful registration with only mandatory fields","firefox","2026-08-10","passed","2026-08-10","Happy Path — User Registration","happy-path/registration.spec.ts","",""
"","2252","TC_038 — phone number with exactly 10 digits is accepted","firefox","2026-08-10","passed","2026-08-10","Boundary & edge cases","edge-cases/boundary.spec.ts","",""
"","2116","TC_038 — phone number with exactly 10 digits is accepted","chromium","2026-08-10","passed","2026-08-10","Boundary & edge cases","edge-cases/boundary.spec.ts","",""
"","2917","TC_037 — date of birth 1900-01-01 is accepted","webkit","2026-08-10","passed","2026-08-10","Boundary & edge cases","edge-cases/boundary.spec.ts","",""
"","7144","TC_071 — non-LinkedIn URL is rejected","chromium","2026-08-10","passed","2026-08-10","Negative — mandatory field validation","negative/validation.spec.ts","",""
"","2766","TC_022 — confirm password mismatch shows error","webkit","2026-08-10","passed","2026-08-10","Negative — mandatory field validation","negative/validation.spec.ts","",""
"","2120","TC_038 — phone number with exactly 10 digits is accepted","mobile-chrome","2026-08-10","passed","2026-08-10","Boundary & edge cases","edge-cases/boundary.spec.ts","",""
"","7204","TC_081 — non-GitHub URL is rejected","firefox","2026-08-10","passed","2026-08-10","Negative — mandatory field validation","negative/validation.spec.ts","",""
"","2001","TC_037 — date of birth 1900-01-01 is accepted","chromium","2026-08-10","passed","2026-08-10","Boundary & edge cases","edge-cases/boundary.spec.ts","",""
"","2138","TC_043 — phone number with 9 digits: document actual behaviour","mobile-chrome","2026-08-10","passed","2026-08-10","Boundary & edge cases","edge-cases/boundary.spec.ts","",""
"","2381","TC_093 — submit empty form shows first required error","webkit","2026-08-10","passed","2026-08-10","Negative — mandatory field validation","negative/validation.spec.ts","",""
"","2027","TC_091 — successful registration with only mandatory fields","mobile-chrome","2026-08-10","passed","2026-08-10","Happy Path — User Registration","happy-path/registration.spec.ts","",""
"","2020","TC_002 — empty first name shows required error","chromium","2026-08-10","passed","2026-08-10","Negative — mandatory field validation","negative/validation.spec.ts","",""
"","2024","TC_011 — email without @ shows format error","mobile-chrome","2026-08-10","passed","2026-08-10","Negative — mandatory field validation","negative/validation.spec.ts","",""
"","4266","TC_064 — form submission must trigger a profile creation API call","mobile-chrome","2026-08-10","passed","2026-08-10","Boundary & edge cases","edge-cases/boundary.spec.ts","",""
"","2223","TC_043 — phone number with 9 digits: document actual behaviour","firefox","2026-08-10","passed","2026-08-10","Boundary & edge cases","edge-cases/boundary.spec.ts","",""
"","1874","TC_093 — submit empty form shows first required error","chromium","2026-08-10","passed","2026-08-10","Negative — mandatory field validation","negative/validation.spec.ts","",""
"","1935","TC_091 — successful registration with only mandatory fields","chromium","2026-08-10","passed","2026-08-10","Happy Path — User Registration","happy-path/registration.spec.ts","",""
"","1916","TC_022 — confirm password mismatch shows error","chromium","2026-08-10","passed","2026-08-10","Negative — mandatory field validation","negative/validation.spec.ts","",""
"","2005","TC_003 — first name with digits shows format error","mobile-chrome","2026-08-10","passed","2026-08-10","Negative — mandatory field validation","negative/validation.spec.ts","",""
"","7202","TC_052 — phone with alphabetical characters is rejected","firefox","2026-08-10","passed","2026-08-10","Negative — mandatory field validation","negative/validation.spec.ts","",""
"","2915","TC_035 — date of birth in the far future: document actual behaviour","webkit","2026-08-10","passed","2026-08-10","Boundary & edge cases","edge-cases/boundary.spec.ts","",""
"","7307","TC_052 — phone with alphabetical characters is rejected","mobile-chrome","2026-08-10","passed","2026-08-10","Negative — mandatory field validation","negative/validation.spec.ts","",""
"","7193","TC_071 — non-LinkedIn URL is rejected","firefox","2026-08-10","passed","2026-08-10","Negative — mandatory field validation","negative/validation.spec.ts","",""
"","2359","TC_022 — confirm password mismatch shows error","firefox","2026-08-10","passed","2026-08-10","Negative — mandatory field validation","negative/validation.spec.ts","",""
"","2297","TC_005 — whitespace-only first name is treated as empty","mobile-chrome","2026-08-10","passed","2026-08-10","Boundary & edge cases","edge-cases/boundary.spec.ts","",""
"","2272","TC_006 — single alphabetical character is accepted as first name","chromium","2026-08-10","passed","2026-08-10","Boundary & edge cases","edge-cases/boundary.spec.ts","",""
"","7985","TC_071 — non-LinkedIn URL is rejected","webkit","2026-08-10","passed","2026-08-10","Negative — mandatory field validation","negative/validation.spec.ts","",""
"","2019","TC_001 — successful registration with all fields","chromium","2026-08-10","passed","2026-08-10","Happy Path — User Registration","happy-path/registration.spec.ts","",""
"","7211","TC_051 — phone number over 10 digits is rejected","chromium","2026-08-10","passed","2026-08-10","Negative — mandatory field validation","negative/validation.spec.ts","",""
